market_code,code,所属概念数量,所属概念,股票代码
17,603095,6,高端装备;机器视觉;专精特新;创投;华为概念;参股银行,603095.SH
17,605090,19,商业航天;低空经济;数字经济;DeepSeek概念;创投;氢能源;智能物流;芯片概念;粤港澳大湾区;新疆振兴;天然气;绿色电力;回购增持再贷款概念;页岩气;航运概念;俄乌冲突概念;煤化工概念;融资融券;沪股通,605090.SH
33,301268,17,新型烟草(电子烟);光伏概念;储能;一体化压铸;液冷服务器;比亚迪概念;充电桩;新能源汽车;人形机器人;宁德时代概念;特斯拉概念;机器人概念;华为概念;回购增持再贷款概念;低空经济;深股通;融资融券,301268.SZ
17,601898,11,中字头股票;煤炭概念;煤化工概念;同花顺中特估100;证金持股;央企国企改革;国企改革;沪股通;融资融券;乡村振兴;化肥,601898.SH
33,301577,14,充电桩;数据中心;专精特新;5G;比亚迪概念;海峡两岸;高压快充;小米概念;新能源汽车;富士康概念;无人驾驶;WiFi 6;数字货币;融资融券,301577.SZ
17,688063,13,钠离子电池;固态电池;锂电池概念;储能;专精特新;绿色电力;两轮车;数据中心;人民币贬值受益;2025年报预增;低空经济;沪股通;融资融券,688063.SH
17,688191,17,特高压;智能电网;风电;无人机;专精特新;数字孪生;华为昇腾;华为概念;机器视觉;水利;人工智能;DeepSeek概念;鸿蒙概念;AI智能体;多模态AI;沪股通;融资融券,688191.SH
33,300816,8,云计算;智能医疗;DeepSeek概念;算力租赁;专精特新;2025年报预增;氢能源;燃料电池,300816.SZ
17,600123,6,煤炭概念;煤化工概念;化肥;国企改革;沪股通;融资融券,600123.SH
17,603836,14,中韩自贸区;统一大市场;跨境电商;航运概念;冷链物流;智能物流;中俄贸易概念;一带一路;数字经济;拼多多概念;数据要素;小米概念;无人驾驶;AI智能体,603836.SH
33,001205,4,航运概念;一带一路;专精特新;股权转让(并购重组),001205.SZ
17,688032,7,光伏概念;储能;专精特新;回购增持再贷款概念;人民币贬值受益;沪股通;融资融券,688032.SH
33,300393,10,BC电池;钙钛矿电池;TOPCON电池;光伏建筑一体化;光伏概念;华为概念;国企改革;AI智能体;深股通;融资融券,300393.SZ
33,300084,12,页岩气;天然气;可燃冰;俄乌冲突概念;氢能源;西部大开发;海工装备;核电;高端装备;军工;人工智能;股权转让(并购重组),300084.SZ
151,920866,6,玉米;农业种植;乡村振兴;融资融券;数字经济;粮食概念,920866.BJ
33,000059,7,化肥;煤化工概念;石墨电极;央企国企改革;国企改革;深股通;融资融券,000059.SZ
33,300763,6,光伏概念;储能;芯片概念;绿色电力;融资融券;深股通,300763.SZ
17,601011,12,煤炭概念;煤化工概念;石墨电极;石墨烯;氢能源;碳中和;黑龙江自贸区;锂电池概念;消费电子概念;AI眼镜;沪股通;融资融券,601011.SH
17,601963,3,乡村振兴;西部大开发;沪股通,601963.SH
33,000637,4,碳中和;国企改革;回购增持再贷款概念;旅游概念,000637.SZ
17,600744,12,超超临界发电;虚拟电厂;风电;绿色电力;核电;碳交易;煤炭概念;碳中和;央企国企改革;国企改革;融资融券;沪股通,600744.SH
17,600408,4,煤炭概念;煤化工概念;氢能源;碳中和,600408.SH
33,300072,12,页岩气;生态农业;化肥;氢能源;碳中和;PM2.5;国企改革;乡村振兴;京津冀一体化;人民币贬值受益;深股通;融资融券,300072.SZ
151,920974,4,金属回收;氢能源;融资融券;燃料电池,920974.BJ
17,600508,9,煤炭概念;超超临界发电;绿色电力;央企国企改革;国企改革;虚拟电厂;储能;沪股通;融资融券,600508.SH
