所属概念,code,股票代码,所属概念数量,market_code
创新药;仿制药一致性评价;智能医疗;西部大开发;沪股通;融资融券,688513,688513.SH,6,17
星闪概念;智能音箱;AI眼镜;无线耳机;语音技术;智能穿戴;小米概念;中国AI 50;芯片概念;消费电子概念;华为概念;阿里巴巴概念;人工智能;人民币贬值受益;融资融券;沪股通,688608,688608.SH,16,17
小金属概念;金属铜;稀土永磁;金属回收;动力电池回收;锂电池概念;特斯拉概念;一带一路;融资融券;深股通,002738,002738.SZ,10,33
跨境电商;家用电器;智能家居;华为概念,603551,603551.SH,4,17
金属钴;金属镍;小金属概念;盐湖提锂;磷化工;钠离子电池;动力电池回收;固态电池;锂电池概念;宁德时代概念;特斯拉概念;回购增持再贷款概念;储能;新能源汽车;西部大开发;低空经济;机器人概念;深股通;融资融券,300919,300919.SZ,19,33
固态电池;宁德时代概念;比亚迪概念;注册制次新股;锂电池概念;钠离子电池;粤港澳大湾区;动力电池回收;深股通;新股与次新股;融资融券,301662,301662.SZ,11,33
芯片概念;5G;国家大基金持股;专精特新;物联网;人民币贬值受益;沪股通;融资融券,688512,688512.SH,8,17
宠物经济;幽门螺杆菌概念;共同富裕示范区;创新药;仿制药一致性评价;合成生物;MR(混合现实);维生素;回购增持再贷款概念;深股通,002940,002940.SZ,10,33
维生素;基因测序;肝炎概念;仿制药一致性评价;医药电商;创新药;民营医院;2025年报预增;黑龙江自贸区;深股通;融资融券,002437,002437.SZ,11,33
CRO概念;重组蛋白;创新药;仿制药一致性评价;西部大开发;融资融券,688553,688553.SH,6,17
华为手机;汽车热管理;消费电子概念;新能源汽车;比亚迪概念;柔性屏(折叠屏);小米概念;宁德时代概念;储能;2025年报预增;智能家居;华为概念;三胎概念;深股通;融资融券,002824,002824.SZ,15,33
盐湖提锂;动力电池回收;固态电池;锂电池概念;化肥;特斯拉概念;新能源汽车;西部大开发;同花顺漂亮100;证金持股;深股通;融资融券,002466,002466.SZ,12,33
华为鲲鹏;数据安全;网络安全;智慧政务;信创;云办公;数据要素;电子身份证;财税数字化;东数西算(算力);百度概念;数字乡村;区块链;DRG/DIP;智慧城市;数字经济;数字孪生;人工智能;互联网金融;华为概念;物联网;数据中心;家庭医生;智能医疗;机器视觉;工业互联网;军工;食品安全;芯片概念;AI应用,300730,300730.SZ,30,33
国企改革;京津冀一体化,600791,600791.SH,2,17
减肥药;细胞免疫治疗;创新药;眼科医疗;仿制药一致性评价;辅助生殖;证金持股;同花顺漂亮100;沪股通;融资融券,600276,600276.SH,10,17
CRO概念;细胞免疫治疗;智能医疗;减肥药;AI智能体;创新药;DeepSeek概念;肝炎概念;融资融券,301257,301257.SZ,9,33
注册制次新股;科创次新股;新股与次新股;融资融券,688712,688712.SH,4,17
黄金概念;金属铅;金属铜;稀土永磁;2025年报预增;西部大开发;沪股通;人民币贬值受益;融资融券,600988,600988.SH,9,17
化肥;煤化工概念;乡村振兴;国企改革;西部大开发;回购增持再贷款概念;深股通;融资融券,000912,000912.SZ,8,33
煤化工概念;化肥;磷化工;天然气;氟化工概念;生态农业;消毒剂;有机硅概念;央企国企改革;氢能源;国企改革;乡村振兴;深股通;融资融券,000830,000830.SZ,14,33
CRO概念;减肥药;创新药;辅助生殖;肝炎概念;仿制药一致性评价;医药电商;合成生物;人民币贬值受益;量子科技;沪股通,605116,605116.SH,11,17
专精特新;污水处理;氢能源;盐湖提锂;融资融券,688350,688350.SH,5,17
仿制药一致性评价;创新药;眼科医疗;肝炎概念;医疗器械概念;阿尔茨海默概念;共同富裕示范区;深股通;融资融券,002020,002020.SZ,9,33
EDR概念;毫米波雷达;汽车电子;星闪概念;专精特新;机器视觉;无人驾驶;智能座舱;比亚迪概念;新能源汽车;卫星导航;车联网(车路协同);物联网;人脸识别;人工智能;垃圾分类;多模态AI;鸿蒙概念;云计算;深股通,002970,002970.SZ,20,33
西部大开发;融资融券;沪股通,603027,603027.SH,3,17
