market_code,股票代码,所属概念,code,所属概念数量
33,300806.SZ,光刻胶;富士康概念;苹果概念;PCB概念;柔性屏(折叠屏);消费电子概念;无线耳机;石墨烯;汽车电子;专精特新;特斯拉概念;新能源汽车;虚拟现实;华为概念;储能;氢能源;深股通,300806,17
17,688308.SH,PCB概念;工业母机;光伏概念;人形机器人;专精特新;2025年报预增;机器人概念;航空发动机;商业航天;融资融券,688308,10
33,300198.SZ,地下管网;海峡两岸;新型城镇化;PPP概念;ST板块;污水处理;锂电池概念;水利;一带一路;无人驾驶;新能源汽车;核电;汽车热管理;减速器,300198,14
17,688652.SH,中芯国际概念;存储芯片;芯片概念;专精特新;高端装备;京津冀一体化;国企改革;沪股通;融资融券,688652,9
33,300887.SZ,脑机接口;军工信息化;商业航天;军工;核污染防治;无人机;PM2.5;低空经济;房屋检测;海工装备;机器人概念;5G;人形机器人;京津冀一体化;食品安全;医疗器械概念;特斯拉概念;新能源汽车;碳中和;储能;土壤修复;碳交易;辅助生殖;三胎概念;幽门螺杆菌概念;基因测序;猴痘概念;CRO概念;肝炎概念;深股通;融资融券,300887,31
17,688319.SH,幽门螺杆菌概念;创新药;生物疫苗;流感;西部大开发;专精特新;沪股通;融资融券,688319,8
33,002931.SZ,长安汽车概念;机器人概念;新能源汽车;股权转让(并购重组),002931,4
33,301292.SZ,钠离子电池;固态电池;锂电池概念;比亚迪概念;新能源汽车;专精特新;深股通;融资融券,301292,8
33,002196.SZ,人形机器人;特斯拉概念;汽车电子;新能源汽车;机器人概念;家用电器;无人机;航空发动机;低空经济;共同富裕示范区;一带一路;国企改革,002196,12
33,301286.SZ,成飞概念;军民融合;军工;芯片概念;华为概念;雅下水电概念;西部大开发;2025年报预增;宁德时代概念;医疗器械概念;深股通;融资融券,301286,12
17,688809.SH,科创次新股;存储芯片;芯片概念;注册制次新股;华为概念;2025年报预增;长三角一体化;新股与次新股;融资融券,688809,9
33,002357.SZ,网约车;旅游概念;参股银行;低空经济;车联网(车路协同);卫星导航;充电桩;西部大开发;宁德时代概念;天然气,002357,10
33,300587.SZ,机器人概念;固态电池;专精特新;高铁;锂电池概念;液冷服务器;融资融券;深股通,300587,8
17,688329.SH,医疗器械概念;智能医疗;人工智能;专精特新;DeepSeek概念;低空经济;融资融券,688329,7
33,002581.SZ,重组蛋白;CRO概念;肝炎概念;生物疫苗;创新药;ST板块,002581,6
33,002297.SZ,成飞概念;大飞机;航空发动机;军民融合;商业航天;军工;碳纤维;无人机;国企改革;培育钻石;融资融券,002297,11
17,688286.SH,无线耳机;AI眼镜;汽车电子;中芯国际概念;智能穿戴;消费电子概念;芯片概念;小米概念;传感器;人形机器人;新型烟草(电子烟);专精特新;机器人概念;物联网;融资融券,688286,15
33,002896.SZ,减速器;人形机器人;新型工业化;机器人概念;新能源汽车;长三角一体化;共同富裕示范区;融资融券;深股通,002896,9
17,688488.SH,创新药;专精特新;DeepSeek概念;沪股通;融资融券,688488,5
33,300749.SZ,商业航天;海工装备;人工智能;智能家居;家用电器;回购增持再贷款概念,300749,6
151,920207.BJ,AI应用;AI智能体;鸿蒙概念;融资融券;虚拟现实;虚拟数字人;芯片概念;职业教育;网络安全;空间计算;智能医疗;智慧城市;智慧政务;数据要素;数据安全;数据中心;数字经济;数字孪生;多模态AI;华为鲲鹏;华为概念;华为昇腾;信创;元宇宙;人工智能;云计算;东数西算(算力);专精特新;AIGC概念;DeepSeek概念,920207,30
17,688561.SH,华为欧拉;华为鲲鹏;数据安全;信创;云计算;网络安全;AI智能体;国资云;鸿蒙概念;区块链;数字货币;AIGC概念;车联网(车路协同);跨境支付(CIPS);量子科技;DeepSeek概念;人工智能;数字经济;星闪概念;军工;物联网;AI应用;沪股通;融资融券,688561,24
17,688309.SH,固废处理;专精特新;人民币贬值受益;高端装备;碳中和;2025年报预增;融资融券,688309,7
33,002519.SZ,军工信息化;商业航天;军民融合;军工;安防;人工智能;无人驾驶;创投;核电;机器人概念;专精特新;新型工业化;智能家居;长安汽车概念;充电桩;比亚迪概念;储能;新能源汽车;智能电网;锂电池概念;宁德时代概念;深股通;融资融券,002519,23
33,300552.SZ,智能座舱;ETC;车联网(车路协同);无人驾驶;星闪概念;机器视觉;汽车电子;传感器;数据要素;智慧城市;数字孪生;华为概念;机器人概念;京津冀一体化;人形机器人;深股通,300552,16
17,688515.SH,汽车芯片;芯片概念;智能座舱;小米概念;人形机器人;比亚迪概念;无人驾驶;铜缆高速连接;机器人概念;车联网(车路协同);华为概念;数据中心;工业互联网;信创;沪股通;融资融券,688515,16
17,688627.SH,存储芯片;OLED;MicroLED概念;芯片概念;专精特新;机器人概念;粤港澳大湾区;东数西算(算力);沪股通;融资融券,688627,10
33,300938.SZ,汽车拆解概念;军民融合;AI眼镜;华为汽车;小米概念;低空经济;军工;比亚迪概念;特斯拉概念;华为概念;机器人概念;DeepSeek概念;食品安全;深股通;融资融券,300938,15
