股票代码,market_code,code,所属概念,所属概念数量
000659.SZ,33,000659,横琴新区;粤港澳大湾区;啤酒概念,3
000700.SZ,33,000700,人形机器人;华为汽车;特斯拉概念;小米汽车;比亚迪概念;新能源汽车;小米概念;机器人概念;智能医疗;参股银行;民营医院;融资融券;深股通,13
002898.SZ,33,002898,ST板块;医美概念;仿制药一致性评价;医疗器械概念;幽门螺杆菌概念;横琴新区;创新药;肝炎概念;新疆振兴;东数西算(算力);股权转让(并购重组),11
002328.SZ,33,002328,新能源汽车;特斯拉概念;储能;液冷服务器;数据中心;长三角一体化;创投;一带一路;融资融券,9
600815.SH,17,600815,福建自贸区;海峡两岸;地下管网;国企改革;智能物流;军工;高端装备;中俄贸易概念;职业教育;沪股通,10
688630.SH,17,688630,光刻机;先进封装;PCB概念;OLED;芯片概念;光刻胶;2025年报预增;专精特新;高端装备;BC电池;光伏概念;融资融券;沪股通,13
920527.BJ,151,920527,融资融券;专精特新;体育产业,3
603968.SH,17,603968,染料;代糖概念;维生素,3
002384.SZ,33,002384,共封装光学(CPO);同花顺果指数;PCB概念;苹果概念;5G;数据中心;芯片概念;消费电子概念;高压快充;小米概念;人形机器人;MiniLED;新能源汽车;特斯拉概念;华为概念;机器人概念;深股通;人民币贬值受益;长三角一体化;融资融券,20
300651.SZ,33,300651,足球概念;体育产业;2025年报预增,3
301266.SZ,33,301266,BC电池;HJT电池;光伏概念;专精特新;超导概念;数据中心;硅能源;融资融券,8
300051.SZ,33,300051,HJT电池;钙钛矿电池;TOPCON电池;云计算;福建自贸区;海峡两岸;光伏概念;储能,8
688516.SH,17,688516,BC电池;钙钛矿电池;TOPCON电池;光伏概念;高端装备;芯片概念;机器视觉;固态电池;锂电池概念;储能;共封装光学(CPO);沪股通;融资融券,13
688790.SH,17,688790,科创次新股;卫星导航;WiFi 6;商业航天;6G概念;汽车芯片;AI眼镜;5G;芯片概念;智能穿戴;注册制次新股;小米概念;华为概念;新股与次新股;融资融券,15
603063.SH,17,603063,智能电网;储能;抽水蓄能;光伏概念;风电;氢能源;海工装备;粤港澳大湾区;沪股通;融资融券,10
600135.SH,17,600135,京津冀一体化;光伏概念;柔性屏(折叠屏);雄安新区;央企国企改革;参股保险;国企改革;医疗器械概念;锂电池概念;固态电池;融资融券,11
