market_code,股票代码,code,所属概念数量,所属概念
17,603618.SH,603618,15,光纤概念;特高压;抽水蓄能;智能电网;风电;光伏概念;储能;石墨烯;PET铜箔;锂电池概念;新能源汽车;5G;共同富裕示范区;沪股通;融资融券
33,300265.SZ,300265,14,柔性直流输电;成飞概念;商业航天;特高压;大飞机;军民融合;智能电网;海工装备;军工;光纤概念;风电;光伏概念;5G;机器人概念
17,603220.SH,603220,28,算力租赁;东数西算(算力);华为昇腾;智慧政务;AI智能体;数据中心;车联网(车路协同);智慧城市;6G概念;DeepSeek概念;人工智能;华为概念;F5G概念;5G;卫星导航;低空经济;共享单车;光纤概念;共封装光学(CPO);充电桩;新能源汽车;一带一路;储能;光伏概念;AI应用;锂电池概念;沪股通;融资融券
33,300909.SZ,300909,14,3D打印;新能源汽车;智能座舱;创投;专精特新;小米概念;智能家居;华为概念;消费电子概念;MiniLED;储能;富士康概念;深股通;融资融券
17,688343.SH,688343,29,华为昇腾;多模态AI;算力租赁;华为鲲鹏;信创;ChatGPT概念;东数西算(算力);阿里巴巴概念;鸿蒙概念;人形机器人;智能座舱;芯片概念;AI智能体;AI眼镜;智慧政务;智能穿戴;人脸识别;车联网(车路协同);机器视觉;消费电子概念;华为概念;安防;人工智能;DeepSeek概念;低空经济;机器人概念;智慧城市;沪股通;融资融券
33,000880.SZ,000880,6,数据中心;中国AI 50;海工装备;国企改革;融资融券;深股通
17,688479.SH,688479,7,ERP概念;云计算;AI智能体;DeepSeek概念;数字经济;人工智能;融资融券
17,688150.SH,688150,8,PCB概念;OLED;柔性屏(折叠屏);专精特新;西部大开发;钙钛矿电池;沪股通;融资融券
17,600510.SH,600510,14,超级电容;OLED;一带一路;新型城镇化;装配式建筑;PPP概念;参股银行;创投;国企改革;体育产业;养老概念;证金持股;沪股通;融资融券
33,301489.SZ,301489,21,液冷服务器;富士康概念;AI PC;消费电子概念;AI手机;AI眼镜;无线充电;小米概念;比亚迪概念;汽车热管理;小米汽车;新能源汽车;储能;专精特新;石墨烯;华为概念;机器人概念;智能家居;一带一路;深股通;融资融券
33,301628.SZ,301628,9,PCB概念;共封装光学(CPO);5G;毫米波雷达;量子科技;专精特新;机器人概念;深股通;融资融券
17,688800.SH,688800,27,铜缆高速连接;5G;液冷服务器;高压快充;毫米波雷达;6G概念;光伏概念;比亚迪概念;新能源汽车;特斯拉概念;储能;数据中心;充电桩;专精特新;2025年报预增;人形机器人;换电概念;军工;机器人概念;商业航天;飞行汽车(eVTOL);卫星导航;军民融合;低空经济;医疗器械概念;沪股通;融资融券
17,688796.SH,688796,10,AI智能体;科创次新股;CRO概念;基因测序;人民币贬值受益;2025年报预增;注册制次新股;沪股通;新股与次新股;融资融券
17,688630.SH,688630,13,光刻机;先进封装;PCB概念;OLED;2025年报预增;芯片概念;光刻胶;专精特新;BC电池;光伏概念;高端装备;融资融券;沪股通
17,600794.SH,600794,10,统一大市场;国企改革;航运概念;智能物流;创投;长三角一体化;数字经济;数字货币;数据要素;沪股通
33,002384.SZ,002384,20,共封装光学(CPO);同花顺果指数;PCB概念;苹果概念;5G;芯片概念;消费电子概念;数据中心;MiniLED;高压快充;小米概念;人形机器人;新能源汽车;特斯拉概念;华为概念;机器人概念;人民币贬值受益;深股通;长三角一体化;融资融券
33,002597.SZ,002597,9,代糖概念;煤化工概念;生物质能发电;合成生物;固态电池;锂电池概念;光伏概念;深股通;融资融券
33,300257.SZ,300257,5,碳中和;氢能源;冷链物流;深股通;融资融券
33,301232.SZ,301232,11,商业航天;航空发动机;大飞机;低空经济;无人机;核电;工业互联网;专精特新;机器人概念;风电;融资融券
17,688256.SH,688256,12,中国AI 50;汽车芯片;国产操作系统;东数西算(算力);同花顺新质50;阿里巴巴概念;先进封装;数据中心;芯片概念;人工智能;沪股通;融资融券
33,300594.SZ,300594,19,液冷服务器;数据中心;芯片概念;低空经济;飞行汽车(eVTOL);专精特新;光伏概念;比亚迪概念;高铁;烟草;换电概念;储能;新能源汽车;充电桩;汽车热管理;空气能热泵;农机;风电;回购增持再贷款概念
33,300852.SZ,300852,14,PCB概念;共封装光学(CPO);汽车电子;5G;毫米波雷达;数据中心;人形机器人;比亚迪概念;无人机;机器人概念;粤港澳大湾区;人民币贬值受益;一带一路;深股通
33,300167.SZ,300167,17,股权转让(并购重组);ST板块;安防;智能物流;军工;氢能源;横琴新区;数据中心;华为概念;智慧城市;东数西算(算力);算力租赁;在线教育;信创;智慧政务;虚拟数字人;AI智能体
151,920689.BJ,920689,8,高端装备;高铁;海工装备;风电;融资融券;核电;数据中心;专精特新
33,002897.SZ,002897,22,共封装光学(CPO);富士康概念;铜缆高速连接;华为海思概念股;F5G概念;5G;消费电子概念;新型烟草(电子烟);比亚迪概念;小米概念;6G概念;智能穿戴;新能源汽车;光伏概念;华为汽车;无人驾驶;华为概念;长安汽车概念;人民币贬值受益;2025年报预增;深股通;融资融券
33,301206.SZ,301206,8,代糖概念;合成生物;绿色电力;人民币贬值受益;专精特新;新型工业化;深股通;融资融券
33,000792.SZ,000792,15,盐湖提锂;小金属概念;化肥;2025年报预增;锂电池概念;西部大开发;同花顺漂亮100;比亚迪概念;央企国企改革;新能源汽车;融资融券;深股通;特色小镇;旅游概念;股权转让(并购重组)
33,300476.SZ,300476,29,共封装光学(CPO);PCB概念;AI PC;富士康概念;英伟达概念;2025年报预增;5G;汽车电子;AI手机;芯片概念;海峡两岸;数据中心;小米概念;储能;特斯拉概念;光伏概念;新能源汽车;东数西算(算力);虚拟现实;人民币贬值受益;粤港澳大湾区;深股通;人形机器人;智能电网;机器人概念;物联网;同花顺出海50;乡村振兴;融资融券
33,301252.SZ,301252,9,液冷服务器;汽车热管理;空气能热泵;数据中心;新能源汽车;长安汽车概念;专精特新;冷链物流;融资融券
17,688210.SH,688210,12,苹果概念;消费电子概念;柔性屏(折叠屏);3D打印;AI眼镜;无人机;智能穿戴;专精特新;回购增持再贷款概念;人民币贬值受益;沪股通;融资融券
33,000811.SZ,000811,33,可控核聚变;液冷服务器;海工装备;超导概念;核电;3D打印;数据中心;储能;海峡两岸;新能源汽车;燃料电池;氢能源;军工;空气能热泵;固态电池;中芯国际概念;机器人概念;雅下水电概念;中俄贸易概念;天然气;水利;碳中和;回购增持再贷款概念;智能物流;创投;国企改革;人工智能;冷链物流;冰雪产业;体育产业;融资融券;宠物经济;深股通
17,600590.SH,600590,29,太赫兹;国产航母;光伏概念;6G概念;卫星导航;军工;军民融合;碳纤维;军工信息化;无人机;数据中心;氢能源;低空经济;储能;燃料电池;智能电网;华为概念;机器人概念;电力物联网;一带一路;虚拟现实;创投;腾讯概念;AI智能体;区块链;智能医疗;IP经济(谷子经济);沪股通;融资融券
17,605289.SH,605289,14,智慧灯杆;新能源汽车;换电概念;空间计算;液冷服务器;智慧城市;东数西算(算力);虚拟现实;人工智能;DeepSeek概念;元宇宙;IP经济(谷子经济);沪股通;股权转让(并购重组)
33,300776.SZ,300776,15,BC电池;TOPCON电池;HJT电池;钙钛矿电池;第三代半导体;MicroLED概念;光伏概念;芯片概念;先进封装;OLED;消费电子概念;MiniLED;PCB概念;融资融券;深股通
33,300658.SZ,300658,5,三胎概念;人民币贬值受益;海峡两岸;福建自贸区;股权转让(并购重组)
