name,code,open,涨停价,跌停价
锐新科技,300828,16.69,20.22,13.48
富临精工,300432,16.66,20.06,13.38
圣农发展,2299,16.52,18.22,14.9
华阳股份,600348,8.23,9.1,7.44
广汽集团,601238,8.21,8.99,7.35
创源股份,300703,24.45,29.36,19.58
天山铝业,2532,16.14,17.82,14.58
晨光电缆,920639,8.06,10.38,5.6
昊志机电,300503,62.4,76.56,51.04
金证股份,600446,15.93,17.53,14.35
泽宇智能,301179,15.86,19.0,12.66
敷尔佳,301371,23.72,28.46,18.98
久祺股份,300994,15.71,18.97,12.65
深中华A,17,7.93,8.67,7.09
中牧股份,600195,7.84,8.67,7.09
志晟信息,920171,23.3,30.45,16.41
江天科技,920121,45.95,59.98,32.3
ST惠伦,300460,7.66,9.22,6.14
国投资本,600061,7.67,8.43,6.89
天秦装备,300922,22.81,27.48,18.32
东方创业,600278,7.61,8.37,6.85
真兰仪表,301303,15.13,18.19,12.13
朗坤科技,301305,22.4,27.0,18.0
灵鸽科技,920284,37.31,48.49,26.11
山东赫达,2810,14.81,16.34,13.37
昆工科技,920152,22.45,28.89,15.57
宝地矿业,601121,7.38,8.13,6.65
亚太药业,2370,7.33,8.05,6.59
天正电气,605066,7.36,8.04,6.58
天洋新材,603330,7.27,7.98,6.53
派斯林,600215,7.17,7.88,6.44
鲁泰A,726,7.16,7.84,6.42
华菱精工,603356,14.21,15.63,12.79
麦澜德,688273,41.75,51.1,34.06
常熟银行,601128,7.04,7.76,6.35
兴业银行,601166,21.13,23.2,18.98
盛泰集团,605138,6.97,7.67,6.27
立华股份,300761,20.71,24.94,16.62
羚锐制药,600285,20.7,22.81,18.67
