股票代码,股票简称,最高价,收盘价,涨跌幅,成交额,涨停价,跌停价
688755,汉邦科技,43.2,43.07,1.51,40321239.08,50.92,33.94
601136,首创证券,19.59,19.56,1.5,499619315.27,21.2,17.34
920717,瑞星股份,11.48,11.47,1.5,29894314.49,14.69,7.91
300308,中际旭创,600.0,591.97,1.5,22117907000.0,699.84,466.56
300643,万通智控,20.29,20.25,1.5,174211070.0,23.94,15.96
600138,中青旅,10.16,10.13,1.5,355290363.42,10.98,8.98
600818,中路股份,10.18,10.13,1.5,73526599.67,10.98,8.98
000837,秦川机床,13.58,13.52,1.5,423746450.0,14.65,11.99
000720,新能泰山,3.38,3.38,1.5,71293117.0,3.66,3.0
300877,金春股份,32.67,31.86,1.5,257183110.0,37.67,25.11
688455,科捷智能,21.93,21.7,1.5,71199698.88,25.66,17.1
600206,有研新材,22.38,22.38,1.5,1064745619.61,24.26,19.85
600171,上海贝岭,33.25,33.25,1.5,824247266.42,36.04,29.48
301459,丰茂股份,45.48,45.47,1.5,56709147.0,53.76,35.84
000166,申万宏源,5.46,5.43,1.5,843980070.0,5.89,4.82
920019,铜冠矿建,21.19,21.06,1.49,105290599.33,26.97,14.53
603806,福斯特,14.54,14.29,1.49,500116544.18,15.49,12.67
601022,宁波远洋,9.53,9.53,1.49,137797740.54,10.33,8.45
603300,海南华铁,8.22,8.17,1.49,1373220715.63,8.86,7.25
001337,四川黄金,30.56,29.99,1.49,573530130.0,32.51,26.6
300721,怡达股份,13.73,13.64,1.49,62208632.0,16.13,10.75
000903,ST云动,2.76,2.73,1.49,126515910.0,2.82,2.56
301030,仕净科技,13.13,12.98,1.49,107548388.0,15.35,10.23
601288,农业银行,7.53,7.52,1.48,2558792029.88,8.15,6.67
000428,华天酒店,3.44,3.42,1.48,81240474.0,3.71,3.03
300796,贝斯美,8.98,8.91,1.48,67442248.0,10.54,7.02
600616,金枫酒业,5.49,5.49,1.48,82498327.16,5.95,4.87
300233,金城医药,15.26,15.1,1.48,192366560.0,17.86,11.9
301149,隆华新材,10.99,10.99,1.48,73338930.0,13.0,8.66
605277,新亚电子,23.44,23.4,1.47,265620878.83,25.37,20.75
688063,派能科技,62.0,61.95,1.47,621261803.12,73.26,48.84
920124,南特科技,19.36,19.28,1.47,139016095.76,24.7,13.3
600110,诺德股份,7.66,7.59,1.47,693502275.51,8.23,6.73
603176,汇通集团,5.52,5.52,1.47,28180095.0,5.98,4.9
600170,上海建工,2.76,2.76,1.47,570905276.01,2.99,2.45
688408,中信博,47.43,46.97,1.47,308738426.91,55.55,37.03
603385,惠达卫浴,6.94,6.91,1.47,36548042.3,7.49,6.13
000524,岭南控股,12.52,12.47,1.46,178181700.0,13.52,11.06
688112,鼎阳科技,39.66,39.49,1.46,76020398.11,46.7,31.14
002879,长缆科技,19.98,19.41,1.46,267693480.0,21.04,17.22
600600,青岛啤酒,63.15,63.09,1.46,388115130.02,68.4,55.96
300094,国联水产,4.19,4.16,1.46,747122830.0,4.92,3.28
002500,山西证券,6.25,6.24,1.46,290770810.0,6.77,5.54
603038,华立股份,17.46,17.36,1.46,125116236.45,18.82,15.4
002820,桂发祥,12.53,12.5,1.46,132846734.0,13.55,11.09
300355,蒙草生态,4.18,4.17,1.46,216270920.0,4.93,3.29
300512,中亚股份,9.75,9.74,1.46,87725131.0,11.52,7.68
300961,深水海纳,15.49,15.31,1.46,119067437.0,18.11,12.07
600261,阳光照明,3.5,3.48,1.46,55007171.4,3.77,3.09
688251,井松智能,28.15,27.85,1.46,69787800.25,32.94,21.96
002022,科华生物,6.3,6.27,1.46,50757441.0,6.8,5.56
603072,天和磁材,44.0,43.9,1.46,251606231.14,47.6,38.94
300930,屹通新材,31.45,31.4,1.45,52722657.0,37.14,24.76
688665,四方光电,51.65,51.65,1.45,68953050.35,61.09,40.73
002137,实益达,9.08,9.08,1.45,176667580.0,9.85,8.06
601968,宝钢包装,5.65,5.59,1.45,102747258.84,6.06,4.96
300712,永福股份,28.3,27.98,1.45,147960200.0,33.1,22.06
002102,能特科技,3.52,3.5,1.45,168155710.0,3.8,3.11
001368,通达创智,25.23,25.22,1.45,52356918.0,27.35,22.37
001279,强邦新材,35.98,35.74,1.45,57113290.0,38.75,31.71
601800,中国交建,8.42,8.41,1.45,309648570.02,9.12,7.46
605188,国光连锁,22.64,22.45,1.45,535262863.0,24.34,19.92
603663,三祥新材,37.3,37.2,1.45,496559191.1,40.34,33.0
300363,博腾股份,26.19,25.97,1.45,439878130.0,30.72,20.48
300859,西域旅游,38.88,38.61,1.45,277739080.0,45.67,30.45
920058,华洋赛车,34.48,34.45,1.44,24115966.99,44.14,23.78
920245,威博液压,30.37,30.25,1.44,24150310.89,38.76,20.88
301222,浙江恒威,29.64,29.57,1.44,37390519.0,34.98,23.32
920112,巴兰仕,38.85,38.73,1.44,26304321.59,49.63,26.73
002724,海洋王,7.06,7.06,1.44,58656103.0,7.66,6.26
600192,长城电工,10.66,10.6,1.44,357926698.45,11.5,9.41
603883,老百姓,15.55,15.55,1.44,206581367.87,16.86,13.8
300893,松原安全,24.87,24.74,1.44,110179422.0,29.27,19.51
601011,宝泰隆,3.54,3.54,1.43,281708833.95,3.84,3.14
000410,沈阳机床,7.84,7.79,1.43,327004070.0,8.45,6.91
300993,玉马科技,15.61,15.59,1.43,139666060.0,18.44,12.3
600906,财达证券,7.11,7.09,1.43,296963130.5,7.69,6.29
603701,德宏股份,20.65,20.57,1.43,96939056.5,22.31,18.25
300888,稳健医疗,39.85,39.73,1.43,236428420.0,47.0,31.34
603789,*ST星农,5.72,5.68,1.43,17569973.2,5.88,5.32
600557,康缘药业,14.94,14.94,1.43,120588321.77,16.2,13.26
600702,舍得酒业,58.39,58.38,1.42,597624915.92,63.32,51.8
603111,康尼机电,7.13,7.12,1.42,112377938.0,7.72,6.32
688186,广大特材,25.87,25.66,1.42,537691468.04,30.36,20.24
300737,科顺股份,5.73,5.71,1.42,178669530.0,6.76,4.5
002582,好想你,13.33,12.86,1.42,668947210.0,13.95,11.41
300631,久吾高科,31.31,30.73,1.42,163213100.0,36.36,24.24
300854,中兰环保,17.97,17.87,1.42,55533441.0,21.14,14.1
688388,嘉元科技,44.18,43.69,1.42,1184839082.12,51.7,34.46
002079,苏州固锝,10.05,10.03,1.42,280157060.0,10.88,8.9
603275,众辰科技,50.05,48.76,1.41,251781838.11,52.89,43.27
300122,智飞生物,20.18,20.08,1.41,570120360.0,23.76,15.84
600643,爱建集团,5.77,5.74,1.41,157777182.19,6.23,5.09
300851,交大思诺,28.16,27.99,1.41,33736518.0,33.12,22.08
688097,博众精工,39.81,39.49,1.41,286431663.2,46.73,31.15
688395,正弦电气,25.17,25.15,1.41,25817470.42,29.76,19.84
301071,力量钻石,38.9,38.81,1.41,489618020.0,45.92,30.62
603165,荣晟环保,13.06,12.94,1.41,53318662.68,14.04,11.48
000692,惠天热电,3.6,3.6,1.41,70079456.0,3.91,3.2
603569,长久物流,7.92,7.92,1.41,65893252.0,8.59,7.03
300957,贝泰妮,41.88,41.78,1.41,283201170.0,49.44,32.96
301636,泽润新能,51.25,51.17,1.41,50294033.0,60.55,40.37
600827,百联股份,9.38,9.38,1.41,180427972.65,10.18,8.33
300755,华致酒行,18.1,18.06,1.4,116559731.0,21.37,14.25
300142,沃森生物,12.39,12.29,1.4,727303060.0,14.54,9.7
301322,绿通科技,28.94,28.93,1.4,62399521.0,34.24,22.82
603193,润本股份,25.33,25.33,1.4,96704539.46,27.48,22.48
