code,所属概念,market_code,所属概念数量,股票代码
688253,阿尔茨海默概念;重组蛋白;幽门螺杆菌概念;智能医疗;猴痘概念;辅助生殖;流感;医药电商;肝炎概念;沪股通;融资融券,17,11,688253.SH
301603,工业母机;PCB概念;柔性屏(折叠屏);新型工业化;新能源汽车;人形机器人;专精特新;机器人概念;2025年报预增;军工;粤港澳大湾区;深股通;融资融券,33,13,301603.SZ
920651,智慧城市;地下管网;传感器;核电;融资融券;物联网;专精特新;人工智能,151,8,920651.BJ
300147,医药电商;流感;创新药;细胞免疫治疗;辅助生殖;禽流感;ST板块;医疗器械概念;横琴新区;粤港澳大湾区;数字经济,33,11,300147.SZ
600206,稀土永磁;中芯国际概念;OLED;国家大基金持股;先进封装;存储芯片;芯片概念;5G;2025年报预增;军工;牙科医疗;华为概念;央企国企改革;京津冀一体化;国企改革;雄安新区;医疗器械概念;沪股通;融资融券,17,19,600206.SH
688521,智能音箱;汽车芯片;先进封装;东数西算(算力);阿里巴巴概念;国家大基金持股;MCU芯片;芯片概念;腾讯概念;虚拟现实;AI眼镜;AI手机;无人驾驶;人工智能;物联网;上海自贸区;数字货币;沪股通;融资融券,17,19,688521.SH
603901,人形机器人;新型工业化;机器视觉;机器人概念;2025年报预增;沪股通,17,6,603901.SH
688001,MicroLED概念;OLED;苹果概念;消费电子概念;汽车电子;5G;无线耳机;芯片概念;智能穿戴;智能音箱;特斯拉概念;人形机器人;回购增持再贷款概念;沪股通;融资融券,17,15,688001.SH
300502,共封装光学(CPO);5G;中国AI 50;芯片概念;数据中心;2025年报预增;深股通;人民币贬值受益;西部大开发;融资融券,33,10,300502.SZ
300082,钠离子电池;固态电池;锂电池概念;宁德时代概念;污水处理;碳中和;储能;新能源汽车;一带一路;柔性屏(折叠屏);深股通;融资融券,33,12,300082.SZ
301057,跨境电商;专精特新;宠物经济;一带一路;融资融券,33,5,301057.SZ
688252,芯片概念;消费电子概念;智能穿戴;智能音箱;电子纸;人民币贬值受益;海峡两岸;抖音概念(字节概念);高压快充;沪股通;融资融券,17,11,688252.SH
301236,华为欧拉;华为昇腾;华为盘古;华为鲲鹏;财税数字化;多模态AI;云计算;ERP概念;ChatGPT概念;AI智能体;信创;国产操作系统;数据安全;百度概念;AIGC概念;数据要素;阿里巴巴概念;鸿蒙概念;虚拟数字人;腾讯概念;区块链;算力租赁;抖音概念(字节概念);数字乡村;数字货币;元宇宙;DeepSeek概念;在线教育;互联网金融;中国AI 50;东数西算(算力);人工智能;数字经济;跨境支付(CIPS);车联网(车路协同);数字孪生;职业教育;华为概念;智能医疗;低空经济;工业互联网;英伟达概念;AI PC;京津冀一体化;机器人概念;无人驾驶;智能座舱;小米概念;人形机器人;5G;虚拟电厂;跨境电商;养老概念;芯片概念;长安汽车概念;换电概念;液冷服务器;AI应用;一带一路;深股通;融资融券,33,61,301236.SZ
688335,专精特新;污水处理;碳交易;绿色电力;氢能源;融资融券,17,6,688335.SH
300909,3D打印;MiniLED;华为概念;消费电子概念;小米概念;专精特新;智能座舱;新能源汽车;富士康概念;智能家居;创投;储能;深股通;融资融券,33,14,300909.SZ
