code,所属概念,所属概念数量,market_code,股票代码
300369,数字水印;MLOps概念;华为欧拉;数据安全;华为鲲鹏;数据确权;云计算;网络安全;AI语料;智慧政务;国产操作系统;信创;腾讯概念;区块链;AI智能体;阿里巴巴概念;数据要素;东数西算(算力);车联网(车路协同);DeepSeek概念;人工智能;华为概念;数据中心;AI应用;独角兽概念;工业互联网;京津冀一体化;深股通;融资融券,29,33,300369.SZ
002202,商业航天;海工装备;风电;抽水蓄能;东数西算(算力);独角兽概念;人工智能;智能电网;特高压;工业互联网;氢能源;储能;柔性直流输电;碳中和;碳交易;创投;绿色电力;西部大开发;新疆振兴;PPP概念;污水处理;煤化工概念;同花顺出海50;深股通;融资融券,25,33,002202.SZ
300603,算力租赁;云计算;东数西算(算力);网络安全;信创;智慧政务;数据确权;腾讯概念;区块链;阿里巴巴概念;百度概念;抖音概念(字节概念);DeepSeek概念;数字经济;智慧城市;数据中心;数字乡村;互联网金融;安防;ETC;华为概念;车联网(车路协同);时空大数据;物联网;独角兽概念;文化传媒概念;5G;液冷服务器;水利;网红经济;AI应用;一带一路;西部大开发;新疆振兴;深股通,35,33,300603.SZ
300342,太赫兹;军工信息化;卫星导航;商业航天;6G概念;军民融合;军工;低空经济;无人机;华为概念;无人驾驶;家用电器;国企改革;深股通;融资融券,15,33,300342.SZ
300868,华为概念;东数西算(算力);消费电子概念;智能穿戴;AI眼镜;跨境电商;股权转让(并购重组);融资融券,8,33,300868.SZ
002897,共封装光学(CPO);铜缆高速连接;富士康概念;5G;华为海思概念股;F5G概念;6G概念;消费电子概念;新型烟草(电子烟);智能穿戴;小米概念;比亚迪概念;光伏概念;新能源汽车;无人驾驶;华为概念;华为汽车;长安汽车概念;2025年报预增;人民币贬值受益;深股通;融资融券,22,33,002897.SZ
300394,共封装光学(CPO);光纤概念;先进封装;5G;英伟达概念;数据中心;华为概念;无人驾驶;专精特新;同花顺新质50;人民币贬值受益;深股通;融资融券,13,33,300394.SZ
301308,存储芯片;国家大基金持股;AI PC;AI手机;EDR概念;先进封装;芯片概念;2025年报预增;AI眼镜;消费电子概念;智能穿戴;智能座舱;小米概念;数据中心;专精特新;数据安全;华为概念;机器人概念;信创;小米汽车;华为鲲鹏;人民币贬值受益;深股通;融资融券,24,33,301308.SZ
301563,存储芯片;MCU芯片;汽车芯片;芯片概念;注册制次新股;PCB概念;汽车电子;传感器;专精特新;机器人概念;物联网;工业互联网;人工智能;商业航天;智能物流;AI智能体;数据要素;DeepSeek概念;深股通;新股与次新股;融资融券,21,33,301563.SZ
600563,超级电容;高压快充;储能;新能源汽车;光伏概念;特高压;人形机器人;军工;柔性直流输电;海峡两岸;福建自贸区;证金持股;沪股通;融资融券;数据中心,15,17,600563.SH
300730,华为鲲鹏;智慧政务;数据安全;信创;数据要素;网络安全;电子身份证;财税数字化;区块链;云办公;百度概念;DRG/DIP;数字乡村;智慧城市;数字经济;互联网金融;数字孪生;人工智能;东数西算(算力);物联网;华为概念;家庭医生;智能医疗;机器视觉;工业互联网;食品安全;数据中心;军工;芯片概念;AI应用,30,33,300730.SZ
920068,无人机;海工装备;3D打印;专精特新;小金属概念;消费电子概念;商业航天;新股与次新股;融资融券,9,151,920068.BJ
300578,Sora概念(文生视频);Web3.0;云办公;多模态AI;虚拟数字人;在线教育;AI应用;信创;鸿蒙概念;元宇宙;国产操作系统;空间计算;DeepSeek概念;数字经济;东数西算(算力);智能医疗;人工智能;虚拟现实;华为概念;数据中心;5G,21,33,300578.SZ
688380,MCU芯片;存储芯片;汽车芯片;芯片概念;2025年报预增;消费电子概念;汽车电子;传感器;小米概念;专精特新;人形机器人;机器人概念;长安汽车概念;华为汽车;沪股通;融资融券,16,17,688380.SH
603138,华为鲲鹏;数据安全;信创;数据要素;人工智能;华为概念;数据中心;横琴新区;雄安新区;融资融券,10,17,603138.SH
002077,先进封装;存储芯片;汽车芯片;芯片概念;汽车电子;2025年报预增;锂电池概念;创投;固废处理;国企改革;融资融券;深股通,12,33,002077.SZ
300608,华为欧拉;云计算;云办公;智慧政务;华为鲲鹏;算力租赁;财税数字化;虚拟数字人;Web3.0;数据确权;数据安全;信创;多模态AI;在线教育;AI智能体;区块链;AIGC概念;数据要素;鸿蒙概念;电子身份证;职业教育;数字经济;互联网金融;DeepSeek概念;东数西算(算力);人脸识别;智慧城市;人工智能;智能医疗;语音技术;数字孪生;车联网(车路协同);物联网;华为概念;数据中心;C2M概念;工业互联网;低空经济;卫星导航;AI应用;乡村振兴;雄安新区;6G概念;5G;机器人概念;消费电子概念;股权转让(并购重组),47,33,300608.SZ
300536,东数西算(算力);算力租赁;新型城镇化;PPP概念;垃圾分类;芯片概念;摘帽,7,33,300536.SZ
301115,土壤修复;碳中和;新型城镇化;水利;一带一路;高铁;光伏概念;房屋检测;食品安全;家用电器;智慧城市;数字孪生;传感器;芯片概念;特斯拉概念;融资融券,16,33,301115.SZ
300272,基因测序;辅助生殖;细胞免疫治疗;宠物经济;养老概念;医美概念;净水概念;独角兽概念;数据要素;冷链物流;家用电器;人民币贬值受益;机器人概念,13,33,300272.SZ
