所属概念,code,所属概念数量,market_code,股票代码
新型工业化;专精特新;无人机;机器人概念;PET铜箔;消费电子概念;固态电池;锂电池概念;可降解塑料,001223,9,33,001223.SZ
商业航天;智慧灯杆;氢能源;燃料电池;专精特新;充电桩;储能;车联网(车路协同);天然气;西部大开发;国企改革;一带一路,300540,12,33,300540.SZ
独角兽概念;机器人概念;人形机器人;长安汽车概念;比亚迪概念;新能源汽车;深股通;融资融券,002488,8,33,002488.SZ
共封装光学(CPO);数据中心;芯片概念;5G;人民币贬值受益;深股通;融资融券,301205,7,33,301205.SZ
F5G概念;共封装光学(CPO);光纤概念;铜缆高速连接;5G;芯片概念;数据中心;2025年报预增;专精特新;华为概念;长三角一体化;抖音概念(字节概念);机器人概念;融资融券;深股通,300548,15,33,300548.SZ
传感器;比亚迪概念;专精特新;芯片概念;汽车芯片;机器人概念;低空经济;存储芯片;回购增持再贷款概念;PVDF概念;民爆概念;融资融券,603375,12,17,603375.SH
金属铅;金属锌;金属铜;黄金概念;稀土永磁;物业管理;锂电池概念;绿色电力;IP经济(谷子经济);储能;氢能源;网络游戏;风电;手机游戏;机器人概念;沪股通;股权转让(并购重组),600173,17,17,600173.SH
共封装光学(CPO);铜缆高速连接;土壤修复;污水处理;新型城镇化;乡村振兴;深股通;股权转让(并购重组),001267,8,33,001267.SZ
中芯国际概念;光刻机;OLED;芯片概念;富士康概念;2025年报预增;股权转让(并购重组);深股通;融资融券,301297,9,33,301297.SZ
PCB概念;共封装光学(CPO);富士康概念;AI PC;5G;英伟达概念;汽车电子;AI手机;芯片概念;小米概念;数据中心;新能源汽车;特斯拉概念;人形机器人;2025年报预增;虚拟现实;机器人概念;粤港澳大湾区;东数西算(算力);物联网;海峡两岸;光伏概念;储能;人民币贬值受益;智能电网;同花顺出海50;深股通;乡村振兴;融资融券,300476,29,33,300476.SZ
新能源汽车;融资融券;消费电子概念;汽车电子;专精特新;PCB概念,920357,6,151,920357.BJ
医疗器械概念;回购增持再贷款概念;融资融券,301188,3,33,301188.SZ
无人驾驶;MCU芯片;减速器;同花顺新质50;飞行汽车(eVTOL);新能源汽车;低空经济;长安汽车概念;智能物流;粤港澳大湾区;2025年报预增;深股通;融资融券,300681,13,33,300681.SZ
